""	"OTU1"	"OTU2"	"OTU3"	"OTU4"	"OTU5"	"OTU6"	"OTU7"	"OTU8"	"OTU9"	"OTU10"	"OTU11"	"OTU12"	"OTU13"	"OTU14"	"OTU15"	"OTU16"	"OTU17"	"OTU18"	"OTU19"	"OTU20"	"OTU21"	"OTU22"	"OTU23"	"OTU24"	"OTU25"	"OTU26"	"OTU27"	"OTU28"	"OTU29"	"OTU30"	"OTU31"	"OTU32"	"OTU33"	"OTU34"	"OTU35"	"OTU36"	"OTU37"	"OTU38"	"OTU39"	"OTU40"	"OTU41"	"OTU42"	"OTU43"	"OTU44"	"OTU45"	"OTU46"	"OTU47"	"OTU48"	"OTU49"	"OTU50"	"OTU51"	"OTU52"	"OTU53"	"OTU54"	"OTU55"	"OTU56"	"OTU57"	"OTU58"	"OTU59"	"OTU60"	"OTU61"	"OTU62"	"OTU63"	"OTU64"	"OTU65"	"OTU66"	"OTU67"	"OTU68"	"OTU69"	"OTU70"	"OTU71"	"OTU72"	"OTU73"	"OTU74"	"OTU75"	"OTU76"	"OTU77"	"OTU78"	"OTU79"	"OTU80"	"OTU81"	"OTU82"	"OTU83"	"OTU84"	"OTU85"	"OTU86"	"OTU87"	"OTU88"	"OTU89"	"OTU90"	"OTU91"	"OTU92"	"OTU93"	"OTU94"	"OTU95"	"OTU96"	"OTU97"	"OTU98"	"OTU99"	"OTU100"	"OTU101"	"OTU102"	"OTU103"	"OTU104"	"OTU105"	"OTU106"	"OTU107"	"OTU108"	"OTU109"	"OTU110"	"OTU111"	"OTU112"	"OTU113"	"OTU114"	"OTU115"	"OTU116"	"OTU117"	"OTU118"	"OTU119"	"OTU120"	"OTU121"	"OTU122"	"OTU123"	"OTU124"	"OTU125"	"OTU126"	"OTU127"
"11"	152	24	145	0	76	0	38	0	119	0	0	19	0	0	143	0	8	0	240	26	210	41	6	71	12	22	214	35	15	74	4	20	53	0	44	45	22	0	12	108	128	81	0	14	38	0	23	15	0	82	5	22	13	323	22	36	6	0	310	0	40	31	0	158	552	109	200	7	55	22	0	0	185	0	378	0	28	0	0	0	0	21	159	629	36	0	37	111	0	4823	42	22	30	19	579	15	4	0	13	17	353	0	106	3	38	84	71	0	6	7	0	436	0	0	70	22	47	286	10	3	37	48	113	0	0	0	3
"12"	179	35	0	45	68	281	51	0	0	30	0	0	10	19	164	23	12	12	282	0	174	0	8	142	1	28	195	32	0	28	0	31	0	0	0	85	8	0	13	105	107	38	107	0	92	9	3	51	0	37	3	59	0	1004	0	49	21	8	285	43	133	42	0	0	453	113	218	3	7	0	20	13	147	0	321	7	38	0	28	0	41	0	47	865	0	21	49	0	2	1657	52	0	32	0	551	0	18	19	0	25	0	441	122	2	29	42	0	0	0	0	52	380	172	21	0	0	29	0	0	8	22	67	95	40	275	0	0
"13"	0	44	0	38	101	143	43	0	173	12	0	0	15	32	0	17	17	0	340	0	121	44	0	54	19	0	278	0	33	59	4	0	94	0	3	89	0	4	0	130	155	27	62	14	70	0	11	0	132	43	2	52	42	490	52	0	0	13	319	26	72	86	80	0	456	71	138	1	44	17	0	0	169	0	330	12	28	25	29	1	0	0	0	770	0	0	52	126	0	186	0	19	47	0	483	15	3	44	0	25	0	248	113	16	63	0	76	0	14	20	0	409	168	25	0	0	126	218	6	4	21	56	86	0	0	0	13
"14"	145	24	221	37	78	0	0	46	154	21	1	0	6	23	99	91	8	13	531	0	0	69	0	71	5	18	163	0	35	0	6	28	137	80	0	0	7	8	0	0	0	0	0	0	58	11	4	12	0	55	1	40	17	87	60	19	11	0	340	55	52	0	0	172	590	128	198	0	25	0	0	0	155	26	272	15	37	13	19	20	37	0	115	987	73	18	57	130	0	2953	15	33	53	9	515	6	9	23	2	0	305	304	120	0	44	0	0	63	45	0	60	400	187	0	0	15	0	238	27	1	0	0	100	0	217	11	10
"15"	0	27	0	42	109	0	33	86	175	19	12	0	28	0	131	0	0	8	576	0	0	0	8	94	8	0	269	45	0	0	49	47	135	115	19	15	10	5	18	117	0	79	101	13	75	12	2	0	0	48	0	0	26	3030	47	17	8	0	306	0	0	54	0	183	481	108	200	17	109	0	0	71	0	0	254	18	15	0	32	0	58	0	120	690	0	19	73	30	0	5049	12	14	21	89	483	4	4	27	16	2	0	0	126	20	58	0	44	0	0	44	0	367	90	114	0	15	154	0	0	0	0	102	93	0	0	8	7
"16"	0	31	0	39	86	312	52	31	135	10	2	0	39	0	169	5	0	0	332	24	0	56	6	50	2	3	272	34	0	57	0	43	0	88	0	0	0	2	6	0	153	0	73	0	0	9	4	14	194	97	4	0	27	140	38	25	1	16	335	22	0	57	32	204	495	103	190	17	23	6	7	0	142	5	385	0	56	49	30	0	10	52	81	776	52	0	58	0	0	4340	0	13	36	71	476	0	0	0	0	0	0	0	123	0	32	0	18	47	25	0	143	431	94	21	0	11	47	0	0	22	27	33	59	37	208	14	1
"17"	128	19	0	0	87	155	40	0	172	0	5	0	52	14	172	4	19	0	218	0	176	94	10	70	5	31	268	20	0	35	4	11	174	90	0	0	18	0	15	87	0	114	0	9	62	5	0	31	0	64	1	0	0	363	0	31	21	15	0	0	0	54	35	166	517	124	171	7	0	2	18	84	112	0	0	0	21	15	32	0	26	0	78	0	61	9	44	61	2	4933	0	18	55	46	542	0	51	0	0	1	431	237	118	0	0	0	0	0	0	33	95	367	110	0	94	10	25	0	29	8	26	23	93	24	191	0	5
"18"	0	48	114	53	114	60	39	60	197	19	0	0	15	22	142	0	23	25	475	13	269	41	7	110	0	0	260	0	8	0	2	11	171	0	0	0	0	3	13	0	132	46	111	0	50	4	0	21	0	123	0	79	29	2071	52	0	0	8	314	42	71	46	24	181	411	0	143	6	22	0	0	0	133	20	260	0	40	0	34	0	0	7	0	785	0	4	57	117	17	1509	0	0	40	32	430	0	31	0	2	0	294	0	78	0	88	92	62	0	0	34	128	418	327	2	0	18	84	0	1	0	0	25	103	6	260	1	0
"19"	105	58	0	50	96	228	40	72	150	29	0	4	40	4	143	1	39	23	292	38	0	66	12	75	0	0	195	23	0	57	9	33	128	0	7	29	0	10	20	204	140	48	0	18	42	0	0	0	0	0	0	0	0	1903	0	0	0	10	319	41	0	43	0	147	606	86	175	20	64	17	0	0	179	14	339	16	23	43	35	0	51	0	82	909	0	21	62	96	0	1250	0	10	42	128	520	0	0	38	10	0	0	392	178	7	0	12	57	8	0	0	76	376	0	3	0	18	134	0	3	0	0	48	119	22	189	0	12
"20"	108	36	0	60	93	256	71	0	187	0	2	0	7	12	158	0	42	11	485	0	238	61	1	106	4	0	296	0	0	52	9	7	171	68	32	0	0	9	9	148	0	0	66	20	34	0	0	49	0	38	0	29	32	1271	0	38	0	0	231	45	52	54	0	157	491	79	208	5	93	35	10	46	192	17	281	0	58	35	0	20	0	47	102	709	0	11	49	0	15	883	0	9	44	80	607	0	1	107	0	0	270	333	136	32	57	0	54	18	0	25	0	442	0	5	0	16	69	215	7	8	21	32	99	19	276	0	2
"21"	173	12	181	0	69	0	35	0	157	0	9	0	0	0	135	0	0	27	332	0	0	46	0	78	51	16	154	0	26	0	0	0	0	103	19	58	0	1	21	0	177	0	0	9	41	0	22	28	0	0	0	0	21	1219	0	55	22	25	300	48	0	50	80	192	613	123	158	0	32	0	21	0	100	6	319	18	33	0	0	12	63	0	142	825	36	0	47	134	0	1768	14	26	48	31	501	12	0	79	0	28	218	0	103	3	44	0	25	73	101	15	55	459	148	18	108	4	67	0	0	1	0	0	64	29	217	11	8
"22"	0	17	0	38	109	210	91	33	179	76	0	1	0	16	178	2	19	0	335	0	275	0	5	93	6	0	274	0	0	43	14	70	130	105	0	81	9	15	29	163	200	0	61	9	64	10	13	9	170	83	0	83	39	230	0	0	0	1	364	0	27	51	45	173	619	115	167	17	78	9	16	51	109	6	306	0	24	29	15	0	0	15	98	635	32	0	52	108	11	6400	0	0	0	8	492	6	5	0	0	7	0	266	95	1	25	42	55	0	0	36	76	452	0	18	88	15	98	0	0	6	15	0	98	0	259	0	0
"23"	136	27	0	37	79	141	67	0	150	24	1	0	20	13	107	0	11	39	257	8	163	52	0	92	15	0	207	0	0	72	2	0	0	81	17	23	7	0	21	105	0	21	84	11	20	18	3	6	125	30	0	0	8	1471	26	0	0	15	310	0	0	34	0	156	0	0	119	1	16	0	0	0	90	0	430	15	49	0	14	0	0	0	85	0	34	15	26	57	0	10183	0	0	56	27	490	0	35	0	5	11	265	263	135	11	55	0	51	40	0	40	50	423	122	17	0	23	0	317	0	16	0	60	109	13	229	19	4
"24"	136	30	184	60	69	0	28	34	138	30	0	0	0	26	114	5	9	26	395	0	0	35	11	107	0	0	193	0	39	52	6	36	161	79	18	54	18	0	8	0	116	0	94	0	40	0	0	0	105	37	0	0	0	1095	32	22	0	0	350	37	49	49	62	150	432	127	190	7	28	22	19	38	0	0	313	0	74	48	26	20	32	0	87	0	0	0	38	0	14	11879	0	20	51	0	461	34	0	12	0	0	205	288	116	37	23	18	34	7	0	0	58	462	190	23	110	19	94	195	0	0	30	77	72	0	192	0	5
"25"	188	0	104	54	69	0	16	46	0	0	8	2	0	35	124	0	40	14	378	0	173	63	0	88	18	16	192	60	3	41	0	0	0	134	16	0	0	10	0	105	120	0	79	0	0	0	3	0	163	0	0	55	24	105	35	11	7	5	315	33	80	48	38	210	581	136	145	0	134	0	18	24	118	8	293	4	21	32	0	0	51	51	215	749	0	0	54	0	0	3312	70	40	32	27	507	0	16	23	24	0	279	203	122	0	56	0	0	0	0	26	48	366	0	22	100	0	50	213	147	7	10	29	86	7	223	6	2
"26"	107	26	107	42	101	217	40	0	136	17	0	0	36	0	194	0	36	0	372	8	197	143	0	104	12	5	243	0	8	25	2	52	127	70	9	75	32	39	15	144	112	0	93	16	27	0	3	35	157	50	9	17	0	958	47	0	14	0	290	0	36	0	35	118	0	0	178	0	51	2	10	0	152	0	345	10	34	7	9	0	0	17	100	725	0	4	57	108	14	4696	0	6	44	11	473	0	0	0	3	23	339	0	106	9	30	0	28	0	0	9	70	399	135	36	99	0	24	0	1	11	0	48	122	7	0	0	8
"27"	125	42	0	46	90	253	39	30	144	27	0	0	29	29	158	0	28	0	529	6	152	111	0	0	9	0	248	44	0	29	1	32	102	81	0	44	0	10	9	125	156	0	0	17	0	12	4	23	0	0	2	0	0	639	0	0	0	0	259	0	0	63	31	144	0	89	219	4	0	0	29	77	104	8	303	10	50	56	0	0	0	4	57	769	11	24	47	127	0	5046	0	0	111	25	473	24	0	33	0	57	0	0	145	11	45	103	0	0	0	39	129	464	178	2	0	0	90	0	0	5	21	31	110	0	202	0	0
"28"	0	48	149	56	93	0	21	42	164	39	2	64	23	12	124	5	63	0	559	4	266	0	0	110	76	35	173	53	7	0	0	56	70	81	6	91	0	0	15	0	205	0	0	22	0	13	10	8	183	0	1	59	0	2360	41	25	0	19	250	27	0	62	49	177	446	62	158	7	43	3	0	103	222	0	301	0	48	0	0	0	21	0	62	793	0	16	53	26	0	365	0	18	27	70	483	0	0	0	68	101	239	0	173	73	44	23	0	32	69	13	59	472	105	0	0	0	71	0	1	0	28	76	101	0	249	0	9
"29"	250	8	205	43	79	198	53	0	94	0	0	0	0	21	108	0	0	0	319	0	0	83	22	0	0	41	154	33	0	26	2	34	0	41	10	0	6	49	10	0	0	57	83	9	0	15	0	0	151	30	0	52	20	35	9	61	0	15	250	27	50	40	0	177	618	126	180	0	22	0	16	29	118	5	392	22	58	0	29	24	26	20	128	747	33	0	81	0	32	4012	55	22	0	0	487	8	0	30	23	5	0	271	121	2	29	20	92	20	0	15	0	399	137	0	0	14	153	239	100	6	28	55	84	0	207	9	4
"30"	160	30	178	64	98	0	21	0	0	12	4	9	30	0	115	0	7	0	387	0	149	62	0	94	0	0	203	0	14	57	0	35	0	0	17	38	14	17	5	0	139	34	96	9	69	13	28	0	203	93	7	93	0	1739	93	50	21	0	292	30	0	58	25	110	503	120	163	8	16	0	0	26	0	10	277	0	0	0	12	0	0	0	0	751	0	20	51	0	0	2596	19	15	27	36	529	8	24	25	0	18	311	254	189	2	54	0	16	77	0	0	113	361	0	12	63	13	70	248	0	60	17	44	105	8	235	9	0
"31"	210	25	139	55	63	148	24	0	0	0	11	0	0	14	126	0	0	5	382	19	209	77	1	62	14	0	189	38	0	28	0	53	0	0	0	56	10	0	0	0	181	140	0	0	14	8	0	17	126	65	4	54	36	42	45	53	9	10	316	0	28	0	44	0	464	116	231	0	51	0	27	40	0	9	342	0	48	16	19	0	0	0	0	824	24	14	36	27	5	7616	21	15	38	0	456	0	0	20	37	0	0	294	155	8	64	0	55	47	98	60	155	451	109	8	74	0	102	273	11	0	0	51	106	10	227	0	5
"32"	190	31	183	25	78	0	42	28	0	0	2	4	4	14	0	3	0	0	375	1	0	27	0	0	0	25	262	29	38	48	11	0	123	0	8	67	0	24	28	0	121	0	0	0	56	10	0	0	176	118	4	0	22	2092	36	46	17	3	323	15	0	43	0	192	556	0	228	0	2	30	20	0	126	17	342	0	35	43	0	0	36	31	74	648	0	0	66	120	0	2207	60	0	28	38	520	17	0	99	0	16	0	0	103	0	67	0	39	21	23	5	0	365	167	0	0	0	94	336	0	4	21	45	63	0	208	13	4
"33"	142	37	0	47	94	130	28	48	161	9	0	0	0	28	145	0	47	0	625	10	0	35	3	131	0	14	234	0	0	28	8	44	150	0	0	0	22	23	14	134	254	83	0	15	0	0	8	46	108	73	2	0	22	60	0	0	7	6	243	76	30	54	28	139	480	114	225	2	10	5	0	0	0	0	276	11	59	20	0	0	20	18	104	0	0	0	44	0	35	1911	0	52	48	25	516	0	0	8	0	28	0	0	106	0	56	0	33	0	37	6	76	421	91	20	105	17	87	0	0	0	0	54	84	0	271	14	17
"34"	0	45	0	0	99	149	44	33	177	28	0	0	22	62	0	2	0	0	0	27	0	51	8	127	94	0	351	43	0	41	0	35	147	0	11	43	13	0	15	97	169	0	108	3	0	8	0	27	139	64	0	0	0	526	64	0	0	0	263	0	0	50	65	168	420	88	209	1	26	19	0	44	0	10	307	19	31	55	0	30	16	0	134	0	70	0	65	82	0	468	0	7	42	35	537	22	0	7	0	21	253	262	162	0	25	55	63	0	19	45	0	441	74	37	0	0	108	0	39	10	0	38	97	0	0	0	0
"35"	135	45	0	42	91	0	0	43	149	14	12	0	25	14	159	2	0	0	494	0	0	45	6	0	0	8	176	44	0	31	7	37	0	0	0	0	3	6	13	124	104	82	74	0	59	0	0	11	169	0	2	75	33	1372	43	34	10	25	286	0	0	54	0	167	0	0	243	16	78	4	19	0	0	15	338	0	0	64	15	13	39	0	113	665	23	14	57	61	10	9161	0	16	60	88	461	0	0	0	1	18	231	265	118	8	52	27	47	66	0	0	81	353	136	28	0	0	73	252	0	10	0	0	123	11	176	0	1
"36"	141	19	189	0	98	0	40	12	152	32	13	0	0	30	128	0	22	63	0	16	245	0	0	124	10	43	226	22	6	22	12	68	104	72	0	17	9	0	0	100	0	0	0	8	41	11	6	22	172	0	1	0	31	172	0	33	0	19	281	0	60	55	0	147	524	56	0	12	0	0	0	0	116	18	325	9	0	0	18	32	0	30	94	0	55	0	67	98	0	747	0	32	32	47	619	0	4	0	0	0	0	201	114	1	31	17	0	44	0	25	0	339	228	1	96	18	70	251	0	19	26	67	94	12	279	0	0
"37"	0	50	102	26	111	116	43	0	193	42	6	0	22	0	203	0	55	11	365	17	171	44	3	0	0	0	204	0	6	0	3	63	146	42	13	32	9	0	7	108	119	0	93	0	41	2	2	0	154	0	0	39	0	850	0	14	26	8	304	0	0	40	0	0	452	111	234	5	33	29	15	97	121	22	342	11	14	0	0	33	0	0	159	616	10	0	72	58	0	762	0	22	70	47	526	0	0	0	0	0	243	394	104	5	42	61	26	18	41	33	92	422	0	4	94	0	49	262	0	0	20	82	66	0	248	4	8
"38"	119	40	0	46	95	259	55	137	131	0	0	0	26	0	140	0	19	0	0	15	230	42	0	0	16	21	187	23	0	34	5	27	0	0	40	43	9	0	22	121	190	43	0	0	62	16	0	21	0	0	0	16	24	46	38	15	9	3	289	42	77	38	58	0	512	146	169	0	0	0	0	38	102	22	412	0	49	16	17	0	22	0	140	0	0	0	30	0	6	3209	0	39	58	16	494	8	0	0	3	0	0	303	125	3	26	0	0	7	33	27	110	348	0	12	0	17	58	0	10	22	17	0	83	25	0	2	0
"39"	170	31	138	55	56	181	45	86	154	0	0	0	0	23	105	3	82	0	493	5	0	18	1	84	2	35	277	30	0	54	5	32	0	0	0	0	0	10	0	0	57	103	0	12	71	7	11	6	159	69	3	113	38	1213	0	42	0	0	313	0	37	40	0	149	468	0	0	0	50	11	20	82	0	0	394	18	75	0	0	22	0	5	121	835	0	0	74	0	0	780	0	37	32	32	494	0	0	0	0	7	0	334	129	0	55	0	0	52	39	20	84	459	0	0	0	13	95	0	1	0	0	24	75	19	236	9	0
"40"	168	19	0	63	83	0	55	0	162	75	0	0	15	6	116	0	0	0	488	3	0	0	0	106	2	43	189	25	0	23	0	31	196	0	0	28	8	11	10	141	85	0	0	7	0	12	6	24	138	38	6	79	0	2433	24	43	44	2	284	0	87	53	58	185	608	89	156	1	29	16	19	61	74	0	369	14	62	0	0	9	0	0	0	774	0	0	54	88	0	1319	0	9	73	56	568	19	25	0	2	0	0	0	126	7	46	67	57	5	24	23	78	401	0	19	0	12	145	0	0	0	40	0	91	17	175	8	0
"41"	146	47	0	24	114	0	0	34	152	9	5	16	14	7	151	17	43	0	241	1	159	0	0	103	80	0	293	25	0	46	0	0	141	0	24	39	0	0	0	0	142	35	0	10	37	0	25	30	0	44	7	33	0	2686	0	0	13	0	0	0	0	51	26	104	461	114	164	11	36	17	0	47	0	21	322	14	55	50	28	0	41	0	0	731	0	0	52	0	2	1868	0	47	33	0	542	2	0	0	0	15	0	353	96	18	22	67	0	55	0	51	51	410	257	46	0	28	110	306	0	0	40	50	65	11	238	8	4
"42"	117	44	153	59	83	0	34	83	155	77	12	0	33	3	139	0	22	28	494	8	211	55	0	75	9	0	180	0	6	24	5	20	86	0	0	44	20	17	18	118	109	71	98	10	64	0	0	21	166	0	0	40	0	2248	34	0	0	5	229	0	0	48	15	129	0	109	167	25	78	0	18	103	0	21	389	15	56	38	35	0	37	61	121	812	0	0	82	42	15	2307	33	5	64	25	546	0	20	0	0	20	304	405	131	8	0	0	65	23	40	0	0	393	165	0	103	26	126	0	149	3	46	32	55	3	297	0	6
"43"	172	17	0	20	71	96	50	0	0	0	0	0	10	0	131	6	25	31	351	0	189	46	3	0	0	0	144	0	4	58	2	55	107	0	19	39	0	34	6	129	101	0	0	16	0	20	0	13	0	30	3	9	47	137	56	21	0	25	0	0	63	60	14	185	507	74	162	0	32	0	0	63	100	0	313	14	51	17	0	0	37	0	89	665	33	4	45	52	12	4739	0	7	25	0	547	8	18	6	0	34	0	364	103	0	32	62	0	0	30	19	0	427	0	11	0	10	75	308	0	0	0	58	79	16	297	0	0
"44"	118	19	0	36	101	131	30	0	191	29	0	1	49	25	157	0	50	0	0	0	203	0	22	0	27	0	172	71	0	0	0	32	0	0	0	0	18	14	12	0	161	66	0	10	43	11	25	30	170	123	2	37	19	2073	30	26	0	7	308	16	78	60	0	163	0	96	153	1	25	0	14	0	77	7	289	11	35	52	19	29	8	0	0	821	56	20	50	153	12	3560	0	0	76	0	552	11	8	58	0	46	0	305	134	1	0	0	50	5	62	15	0	444	118	13	97	23	40	0	1	9	9	37	39	0	221	2	9
"45"	144	12	162	41	94	246	55	28	150	16	3	0	0	26	104	1	41	7	345	4	126	34	25	0	47	14	237	48	6	27	2	53	146	110	11	0	14	20	9	147	186	22	0	12	0	0	0	11	0	135	3	87	13	571	0	26	0	34	270	0	0	59	0	183	513	120	249	4	6	0	0	0	76	9	410	0	44	0	19	16	51	0	133	900	21	21	44	31	8	1978	46	30	42	28	521	0	24	79	0	0	0	336	169	44	53	0	28	0	50	42	0	436	186	0	0	0	0	0	1	31	8	75	53	24	215	1	0
"46"	223	0	121	0	67	174	28	0	0	0	13	29	0	0	129	0	15	0	517	0	0	0	0	70	4	67	193	0	2	67	0	48	0	62	4	47	3	39	0	0	179	0	65	13	66	16	0	13	156	54	0	0	38	1142	0	55	0	0	242	0	67	54	24	0	633	0	265	2	56	0	28	0	126	0	352	21	34	29	18	0	37	0	0	770	27	3	73	169	28	4973	34	10	54	32	564	5	0	0	0	33	0	0	156	0	40	22	29	0	0	43	67	410	0	0	0	15	0	225	6	6	25	0	140	0	270	6	1
"47"	0	37	167	0	80	0	0	5	163	22	8	1	50	17	168	22	25	0	364	0	123	105	5	84	6	0	222	27	1	56	6	0	121	76	14	22	0	0	6	0	132	0	42	18	46	6	0	20	0	94	1	81	28	540	58	11	0	5	257	0	0	51	64	132	575	137	158	2	0	4	22	0	132	10	353	0	0	19	25	8	53	2	167	521	22	10	55	88	0	664	0	0	51	20	554	0	11	0	0	0	0	322	138	1	36	28	0	24	96	13	82	435	132	0	83	18	42	237	0	0	21	69	90	0	248	1	0
