""	"OTU1"	"OTU2"	"OTU3"	"OTU4"	"OTU5"	"OTU6"	"OTU7"	"OTU8"	"OTU9"	"OTU10"	"OTU11"	"OTU12"	"OTU13"	"OTU14"	"OTU15"	"OTU16"	"OTU17"	"OTU18"	"OTU19"	"OTU20"	"OTU21"	"OTU22"	"OTU23"	"OTU24"	"OTU25"	"OTU26"	"OTU27"	"OTU28"	"OTU29"	"OTU30"	"OTU31"	"OTU32"	"OTU33"	"OTU34"	"OTU35"	"OTU36"	"OTU37"	"OTU38"	"OTU39"	"OTU40"	"OTU41"	"OTU42"	"OTU43"	"OTU44"	"OTU45"	"OTU46"	"OTU47"	"OTU48"	"OTU49"	"OTU50"	"OTU51"	"OTU52"	"OTU53"	"OTU54"	"OTU55"	"OTU56"	"OTU57"	"OTU58"	"OTU59"	"OTU60"	"OTU61"	"OTU62"	"OTU63"	"OTU64"	"OTU65"	"OTU66"	"OTU67"	"OTU68"	"OTU69"	"OTU70"	"OTU71"	"OTU72"	"OTU73"	"OTU74"	"OTU75"	"OTU76"	"OTU77"	"OTU78"	"OTU79"	"OTU80"	"OTU81"	"OTU82"	"OTU83"	"OTU84"	"OTU85"	"OTU86"	"OTU87"	"OTU88"	"OTU89"	"OTU90"	"OTU91"	"OTU92"	"OTU93"	"OTU94"	"OTU95"	"OTU96"	"OTU97"	"OTU98"	"OTU99"	"OTU100"	"OTU101"	"OTU102"	"OTU103"	"OTU104"	"OTU105"	"OTU106"	"OTU107"	"OTU108"	"OTU109"	"OTU110"	"OTU111"	"OTU112"	"OTU113"	"OTU114"	"OTU115"	"OTU116"	"OTU117"	"OTU118"	"OTU119"	"OTU120"	"OTU121"	"OTU122"	"OTU123"	"OTU124"	"OTU125"	"OTU126"	"OTU127"	"OTU128"
"11"	11	163	44	0	31	80	0	43	117	131	30	0	0	7	0	107	0	0	17	0	0	0	0	27	83	10	0	196	0	0	26	0	34	102	117	22	54	0	31	17	0	0	66	109	18	56	9	0	17	0	0	1	0	14	3358	0	0	24	0	285	38	52	70	82	122	596	89	0	0	0	5	18	114	93	10	358	0	32	0	27	0	0	0	0	727	38	0	72	220	4	968	0	0	29	26	489	0	13	0	0	45	0	398	151	0	29	66	0	32	147	11	0	333	223	21	0	10	0	263	0	3	0	35	99	11	203	0	15
"12"	12	221	23	0	86	120	0	18	0	171	19	5	0	25	0	142	1	35	59	384	0	261	0	7	0	54	8	321	19	17	35	6	16	212	0	71	45	0	11	12	161	79	129	0	0	0	0	14	47	0	76	0	42	24	15	0	45	9	0	247	36	0	40	0	152	680	85	0	5	56	0	10	0	153	0	417	0	38	73	0	16	0	0	0	0	0	6	85	0	0	3669	0	0	44	17	525	0	0	79	0	0	270	326	151	0	46	0	35	0	27	9	98	418	125	38	0	13	51	249	0	18	25	38	156	0	222	0	9
"13"	13	0	23	249	0	58	0	71	10	124	21	9	0	0	0	194	0	71	0	0	2	0	0	0	57	0	2	298	0	11	43	6	37	0	0	22	0	0	12	9	151	0	41	0	9	85	0	17	0	0	91	0	33	0	82	0	19	14	3	253	21	104	68	43	145	518	88	134	7	0	0	0	0	126	0	358	17	29	14	17	0	41	0	97	611	0	0	65	0	0	1290	0	19	32	0	553	36	8	16	2	23	271	279	164	1	50	25	44	0	0	43	119	420	0	0	79	10	76	0	0	8	14	33	111	7	262	21	7
"14"	14	219	31	0	0	127	263	34	51	187	5	0	11	0	0	103	6	0	75	519	0	200	59	16	102	0	19	245	30	0	63	0	27	118	0	40	55	11	23	35	0	149	47	73	0	57	6	0	13	152	50	5	41	11	337	0	38	0	0	0	0	0	46	53	212	584	86	248	0	0	0	26	0	0	16	375	0	32	62	42	23	45	12	109	0	42	18	62	85	0	1505	51	5	57	0	588	18	2	12	5	15	0	0	127	38	50	0	45	0	69	19	41	444	0	18	0	20	72	413	0	9	13	0	80	0	215	6	0
"15"	15	181	38	151	41	0	0	23	16	102	18	2	11	0	13	182	0	13	0	428	19	0	80	5	58	56	0	224	0	9	41	10	44	286	102	0	0	27	0	14	119	166	75	89	15	26	8	20	13	136	70	5	62	17	2042	30	7	19	3	265	0	22	70	24	158	592	103	218	0	41	0	0	0	0	12	333	9	0	28	0	0	0	3	61	631	34	10	62	228	0	1837	58	30	0	61	550	0	0	55	0	30	315	270	100	0	32	0	45	0	41	17	0	395	287	0	131	15	0	0	0	17	0	0	120	5	0	7	3
"16"	16	149	26	132	15	77	0	37	0	127	13	4	0	30	12	100	2	0	36	0	15	0	0	3	69	33	4	207	34	0	39	7	0	94	80	11	23	0	6	16	0	138	39	71	18	38	9	4	30	129	78	3	60	25	3035	0	15	0	0	287	0	0	42	21	0	558	108	246	22	26	27	7	0	77	6	315	8	39	79	13	0	0	0	0	865	24	0	50	0	5	805	0	2	27	0	547	9	0	5	0	0	0	283	129	0	51	0	16	0	65	21	0	407	110	29	117	7	52	267	3	8	30	60	118	0	202	0	0
"17"	17	154	45	0	26	77	222	0	47	133	0	0	0	9	21	127	2	0	14	389	32	0	66	18	0	0	7	256	22	1	57	0	58	0	88	0	63	17	26	20	112	0	34	84	0	57	15	3	0	138	0	8	53	0	47	0	27	0	6	293	61	99	51	0	160	380	95	197	26	37	11	0	57	0	23	336	0	32	0	28	0	0	2	114	0	0	0	50	0	0	4927	18	17	36	31	507	0	2	40	0	0	284	0	135	0	47	0	19	0	46	15	81	414	215	32	0	14	66	0	3	0	0	52	109	0	232	2	11
"18"	18	208	25	0	63	82	0	18	0	208	2	3	4	0	8	178	0	30	0	0	25	187	0	7	82	66	17	180	0	16	63	13	25	0	0	0	34	19	0	0	137	112	42	0	17	51	14	0	17	0	0	0	0	38	595	0	0	21	0	0	17	20	42	47	113	529	93	151	0	58	0	0	0	104	0	337	0	35	0	30	13	59	0	103	745	0	8	0	126	0	830	24	0	80	0	515	9	0	37	24	15	0	401	151	0	50	18	89	0	0	0	0	460	0	30	129	11	143	0	0	0	0	38	37	7	256	0	0
"19"	19	173	16	134	45	65	0	0	0	148	15	0	0	17	0	155	0	51	25	405	17	145	0	11	64	11	9	284	0	18	0	0	0	76	0	10	0	0	13	32	0	0	70	0	16	56	6	12	26	145	69	5	0	15	2450	30	41	17	22	297	0	88	71	0	180	602	0	200	0	58	0	13	34	0	8	314	18	12	30	27	0	27	0	151	844	24	0	53	0	2	2022	45	41	53	45	516	0	31	0	1	0	0	291	133	0	67	0	47	39	41	20	0	435	0	0	0	0	176	288	0	0	37	53	71	0	193	6	0
"20"	20	157	35	236	35	98	148	44	0	137	6	0	6	10	17	0	0	0	18	476	0	0	78	0	40	12	0	290	26	0	46	24	46	149	40	0	49	0	15	12	0	154	76	0	12	46	0	0	22	118	63	0	72	25	1738	43	48	0	0	270	37	106	41	0	0	0	102	211	3	95	0	0	59	68	0	320	10	37	0	13	0	0	5	135	0	0	6	50	0	4	6145	0	25	0	0	531	0	0	0	26	39	233	306	155	0	59	57	55	0	83	21	0	363	0	10	0	14	67	290	2	0	0	102	89	0	181	11	18
"21"	21	150	32	0	73	69	182	40	28	146	14	7	12	8	5	130	1	0	34	360	18	0	68	7	89	20	13	245	0	0	85	4	23	0	0	0	22	13	1	23	95	0	0	52	14	37	14	0	23	118	40	4	47	35	2210	0	55	10	29	317	37	38	49	0	181	694	0	0	0	77	20	11	47	143	19	321	6	0	0	20	14	0	0	124	910	0	8	65	112	0	1332	17	0	47	24	514	7	2	36	1	0	190	430	130	88	73	0	90	10	26	0	0	446	65	24	109	19	82	0	25	0	0	0	129	24	204	0	0
"22"	22	0	14	203	0	68	187	48	0	0	15	8	0	51	13	122	0	25	0	358	17	0	33	0	82	0	53	259	26	15	35	12	10	121	70	0	24	0	0	12	0	132	39	69	20	80	5	0	11	0	150	0	112	38	575	70	15	12	8	292	0	0	68	0	163	484	97	164	0	0	17	15	0	73	31	284	0	12	0	27	30	38	0	112	725	0	13	91	66	0	1697	18	7	24	50	531	12	4	13	0	16	242	224	145	2	17	0	50	37	0	17	56	351	0	0	103	0	0	237	8	3	33	70	96	0	162	1	0
"23"	23	171	36	0	43	116	0	23	47	210	0	3	0	0	14	155	3	0	23	0	25	0	0	8	0	41	21	228	0	10	29	13	37	0	87	17	0	15	6	18	165	102	0	50	0	0	8	3	33	0	0	2	0	0	2742	35	29	0	0	292	0	0	35	0	0	424	103	290	0	38	9	13	0	115	20	374	20	0	3	22	0	48	27	86	758	43	23	68	142	0	2202	29	0	49	15	527	15	0	0	1	0	276	357	111	10	48	51	56	0	0	29	0	364	130	7	57	16	104	0	0	0	34	31	72	0	237	0	5
"24"	24	191	40	0	69	113	153	0	13	149	0	0	74	9	0	172	6	57	0	352	9	0	26	0	0	0	13	166	0	0	86	0	36	88	0	12	83	0	49	13	112	156	39	70	0	64	15	6	43	0	36	7	45	0	3262	69	0	9	5	324	0	53	58	47	168	468	124	183	0	59	0	19	75	122	2	355	12	62	7	19	0	67	0	160	801	22	18	0	39	0	6024	0	16	27	25	488	0	31	35	0	64	0	303	137	0	57	46	0	0	0	23	29	426	63	23	0	0	0	283	0	53	11	0	82	25	259	5	8
"25"	25	182	32	0	59	93	79	29	0	178	11	6	3	0	0	118	27	30	20	376	11	0	57	2	86	34	10	249	0	0	50	0	53	0	0	0	0	0	19	12	112	119	54	0	14	0	12	0	22	0	0	0	85	26	1095	0	22	0	1	238	48	57	44	0	149	528	119	138	0	47	0	0	90	104	0	375	14	42	34	0	0	29	11	97	757	20	0	56	0	9	3876	35	13	51	120	601	3	5	9	0	0	0	0	0	3	37	32	0	0	27	25	0	459	91	0	155	12	73	253	0	6	9	21	79	24	220	7	0
"26"	26	196	41	0	0	85	0	46	0	171	0	10	31	7	25	108	4	20	0	324	17	0	0	9	80	52	0	281	25	6	42	0	0	0	0	19	48	6	13	0	122	0	40	112	10	0	17	12	0	125	0	0	37	19	4013	0	40	35	15	287	0	0	42	0	167	431	105	191	15	97	8	17	0	102	0	304	15	28	16	14	0	0	13	112	643	36	19	69	275	3	276	0	42	59	32	524	12	0	0	0	0	0	279	164	6	45	30	0	10	71	25	54	378	0	55	140	0	106	0	0	1	32	24	73	43	199	1	6
"27"	27	188	35	0	56	85	0	43	66	153	0	0	0	0	8	128	1	33	0	267	8	0	51	4	80	32	10	158	0	0	71	4	41	140	0	13	38	16	10	42	117	183	65	0	21	0	11	3	15	0	37	0	29	0	2627	0	0	0	4	293	0	0	45	0	153	504	108	175	17	42	1	19	59	113	0	379	8	41	63	25	33	0	0	0	743	0	0	36	104	0	6500	20	25	0	93	457	5	0	0	0	44	309	0	126	0	36	0	67	24	69	20	0	427	177	0	0	0	127	293	0	0	18	40	144	10	300	2	11
"28"	28	0	13	317	0	73	413	55	0	0	6	7	21	11	19	174	0	71	7	0	29	177	0	11	57	0	15	327	23	0	53	6	35	183	151	0	27	0	33	14	0	168	0	0	0	46	12	0	14	115	62	3	55	37	4981	0	0	0	0	317	48	0	33	0	0	0	0	166	3	0	0	4	0	0	0	298	21	110	68	12	0	16	0	119	750	28	0	81	0	5	673	0	13	0	87	533	0	4	13	0	25	0	305	126	0	66	29	44	51	49	0	95	384	156	0	0	10	153	233	0	0	11	0	126	0	0	30	2
"29"	29	0	22	141	0	80	220	39	22	0	0	11	0	0	20	140	20	35	0	446	45	0	89	20	0	79	64	175	0	0	38	11	63	119	74	17	52	9	0	22	97	158	0	76	12	49	6	0	10	0	115	0	24	26	1746	0	41	0	0	321	74	0	37	25	168	426	0	140	0	0	19	6	33	55	17	338	0	0	0	15	6	13	0	182	699	34	0	0	97	9	1351	17	32	35	17	482	0	0	0	47	0	229	392	132	3	37	0	20	49	61	18	73	447	136	2	0	0	136	217	0	6	0	35	98	0	252	1	0
"30"	30	159	21	0	45	72	125	39	0	110	0	4	14	0	15	127	1	29	0	0	19	190	80	6	0	0	25	139	46	11	0	3	38	0	0	18	59	0	24	9	0	152	52	0	11	52	13	3	25	0	35	1	16	11	2119	45	0	14	0	241	33	0	39	66	0	626	114	246	0	90	11	27	53	0	4	353	9	58	12	12	5	0	0	115	0	0	0	61	135	0	1881	0	23	0	4	485	0	6	0	0	20	0	0	124	4	22	39	0	0	0	14	128	405	0	9	116	14	0	195	0	0	24	66	86	0	0	0	6
"31"	31	148	37	0	35	102	222	65	61	127	0	0	0	55	0	157	0	104	0	359	6	0	22	0	0	12	0	0	0	0	34	0	8	0	59	0	76	0	8	4	109	84	37	43	15	0	0	0	29	164	68	5	56	18	60	0	0	18	0	217	59	0	41	42	131	534	98	211	14	45	0	21	0	129	1	342	0	0	19	7	9	0	6	119	695	0	12	0	24	0	5555	64	43	76	21	532	7	32	0	71	15	0	383	116	3	12	0	0	68	0	19	0	325	112	22	0	12	0	0	0	0	28	86	105	0	296	7	3
"32"	32	164	64	146	0	78	0	31	182	179	0	0	0	15	27	134	2	0	13	316	36	0	27	0	0	4	0	204	0	0	0	0	51	147	70	6	0	0	21	24	90	0	71	79	0	45	0	7	17	121	0	2	0	26	5	51	0	0	0	275	30	68	47	36	152	641	78	267	0	24	0	0	0	108	25	335	8	20	14	18	0	0	8	0	940	0	0	75	189	0	1250	0	15	42	0	531	20	0	61	0	0	325	0	111	7	35	0	0	54	0	12	94	452	147	0	133	19	76	0	2	20	5	0	81	0	255	2	21
"33"	33	182	40	189	51	94	0	40	76	157	0	5	0	49	0	135	0	55	0	0	0	0	25	0	0	8	0	316	0	0	35	0	31	139	82	6	48	21	8	11	0	154	0	60	0	81	7	0	33	132	0	5	32	41	455	0	36	14	0	316	26	20	39	80	153	535	153	159	4	49	32	2	0	0	0	392	0	16	0	0	14	0	2	118	827	0	0	49	114	0	8499	37	11	57	54	0	15	0	46	0	0	300	419	132	1	30	0	40	13	47	27	0	327	0	0	0	0	38	0	0	30	45	0	89	0	226	5	0
"34"	34	107	27	282	0	64	0	46	12	153	29	0	0	20	39	172	0	0	5	379	0	0	66	23	0	0	38	216	0	0	34	8	39	132	61	0	50	11	20	16	131	162	0	95	0	67	0	0	17	178	43	0	0	23	284	83	48	0	0	313	0	0	47	42	164	0	139	160	0	28	0	10	84	111	19	353	16	38	14	2	0	21	1	95	747	0	0	65	27	4	2534	25	1	56	49	446	2	0	0	0	0	337	284	96	38	64	26	39	0	0	0	89	337	126	0	99	13	126	224	0	2	31	70	85	38	219	14	5
"35"	35	0	0	126	21	90	356	37	30	177	0	5	43	0	13	131	44	0	0	642	0	179	0	0	106	4	11	212	66	4	41	0	0	0	59	0	0	0	29	12	125	162	0	70	11	87	16	0	21	0	62	0	65	4	6296	79	42	0	0	296	25	61	48	0	121	540	122	218	19	0	0	11	0	93	13	255	21	38	14	29	25	41	80	105	757	0	0	46	0	0	5188	16	6	81	23	522	23	4	34	0	44	0	475	104	0	0	31	41	0	37	18	0	333	163	11	196	14	97	256	0	0	24	0	103	7	217	2	0
"36"	36	150	32	166	0	90	70	41	0	147	6	1	46	34	5	117	0	25	15	415	0	146	97	20	0	0	0	211	0	7	48	23	32	0	0	1	21	0	0	32	0	170	65	88	15	0	15	0	16	0	63	3	0	53	2329	0	63	0	4	343	0	87	27	41	188	601	98	0	4	59	6	0	0	0	0	303	15	50	14	0	0	9	0	107	781	16	0	0	46	0	585	0	0	46	20	541	5	17	0	26	23	0	0	170	1	15	0	0	35	51	51	112	403	0	0	84	19	79	254	5	0	42	0	108	43	204	0	2
"37"	37	127	36	195	32	93	0	49	0	0	0	7	0	0	32	151	12	38	0	0	0	0	0	13	94	13	27	238	0	0	46	21	41	0	79	0	45	0	5	15	0	175	34	0	7	0	0	25	42	0	0	2	37	20	962	42	49	5	3	297	0	103	65	62	143	464	127	110	9	14	8	14	77	0	9	312	14	48	87	0	0	11	0	120	0	55	21	31	161	0	1198	18	14	29	26	513	20	0	37	50	0	292	287	119	0	59	34	21	80	0	29	57	451	0	0	136	16	64	0	0	13	0	0	73	0	271	0	3
"38"	38	166	25	0	56	92	156	31	0	177	0	0	0	17	39	144	146	0	21	345	24	244	90	0	68	5	0	258	0	11	61	0	25	0	103	18	51	0	43	7	144	164	61	81	0	0	11	0	17	127	80	2	36	26	207	0	31	0	0	280	52	0	55	0	0	519	122	0	12	26	22	0	0	0	24	305	12	28	5	0	21	29	0	57	753	0	24	43	17	0	659	0	6	54	0	497	0	6	0	0	142	261	312	154	20	28	0	0	16	53	42	76	437	0	8	0	0	0	0	0	0	44	54	62	21	274	0	1
"39"	39	199	40	0	40	84	111	40	0	126	12	7	3	14	11	126	0	0	19	477	0	200	0	0	106	11	0	249	0	0	38	2	63	0	0	1	25	18	19	13	0	233	69	66	0	40	8	8	32	157	0	0	54	21	381	74	27	0	0	259	45	88	79	29	181	540	0	259	5	44	14	27	12	106	6	320	16	43	1	35	22	19	0	0	0	31	3	0	0	20	3731	17	0	58	0	476	18	43	7	0	0	0	419	120	0	39	35	37	12	0	0	105	364	149	3	58	11	101	247	0	0	26	0	82	11	238	0	1
"40"	40	133	27	0	35	88	0	57	14	0	3	3	99	47	15	179	0	12	45	281	10	0	93	3	0	6	28	241	54	18	40	0	12	0	70	13	32	17	0	7	0	179	39	60	12	47	0	0	22	210	0	0	40	41	576	9	0	28	4	298	21	106	34	0	164	606	141	180	0	41	0	23	35	0	0	261	0	47	0	32	28	37	0	0	761	30	1	71	0	0	4421	55	13	30	0	598	14	0	0	0	34	0	0	156	17	68	0	19	2	46	23	0	427	0	15	0	0	0	241	0	10	32	36	162	0	303	0	0
"41"	41	0	0	157	0	74	75	60	0	0	12	5	12	0	30	126	0	0	0	373	0	237	46	2	101	0	14	144	35	17	38	0	27	0	103	0	0	0	23	8	158	145	0	0	0	70	13	0	50	0	0	4	56	6	5360	57	28	10	17	268	0	0	66	44	141	0	94	0	1	82	1	0	54	92	0	298	14	57	9	31	0	9	0	83	740	0	33	55	0	9	5772	17	14	50	52	527	0	0	0	0	0	243	372	152	13	33	0	60	105	0	48	0	428	0	10	108	12	90	334	8	6	25	46	94	0	228	3	8
"42"	42	185	38	0	50	97	0	23	11	0	0	0	0	0	41	165	1	28	20	539	7	113	46	8	0	40	0	186	23	0	70	3	85	0	65	0	47	0	0	3	0	120	56	0	0	37	13	0	4	0	86	9	31	0	451	0	32	18	3	0	0	0	0	27	146	491	0	160	6	28	17	20	68	80	0	304	14	57	17	0	18	63	15	130	848	17	0	0	135	0	1497	0	16	52	76	467	11	0	0	0	0	0	347	145	30	0	0	24	0	0	10	107	442	105	5	0	16	0	308	0	0	25	0	109	0	287	0	0
"43"	43	163	23	106	51	76	170	11	0	184	39	1	0	18	0	120	0	0	23	465	3	0	0	0	113	10	36	314	56	0	38	2	40	193	53	0	27	0	0	5	127	101	55	0	12	79	5	3	8	128	93	0	0	0	723	0	131	26	0	280	96	54	42	0	0	0	99	197	0	24	23	0	0	0	12	362	4	42	17	32	0	0	0	0	751	0	0	45	33	0	869	0	27	61	66	534	27	9	0	4	0	0	0	128	0	30	0	55	94	0	12	40	446	110	25	103	0	86	0	0	0	0	30	69	0	226	0	0
"44"	44	186	40	0	51	104	0	22	37	135	0	0	0	0	34	110	37	0	0	529	0	120	36	15	66	16	0	259	37	0	48	0	39	0	0	0	36	0	0	0	0	122	16	62	8	26	7	0	20	0	58	10	24	20	206	0	28	16	0	287	28	0	63	42	175	538	86	117	1	15	12	29	66	0	8	374	18	0	0	0	0	0	0	136	661	0	0	0	0	12	7690	0	0	0	41	606	10	6	0	0	8	319	0	128	0	28	0	0	0	0	30	0	370	207	0	0	0	94	331	0	0	14	0	87	0	220	0	14
"45"	45	164	35	123	52	63	118	31	0	116	32	0	0	23	6	163	0	0	0	0	16	0	71	7	94	9	16	226	38	26	38	0	18	87	51	0	42	0	11	11	135	114	0	82	8	27	6	0	0	0	59	0	112	0	760	31	34	16	0	282	83	75	51	0	152	480	108	197	10	18	0	0	18	181	0	281	16	49	35	22	67	25	0	0	0	0	9	59	0	0	2006	0	36	56	120	436	3	0	0	6	23	259	277	128	0	6	0	31	44	0	21	0	358	115	19	0	0	116	262	0	40	42	0	87	0	285	2	9
"46"	46	176	36	0	52	86	0	23	0	165	12	0	0	0	15	127	3	60	0	347	2	195	60	0	90	0	3	198	25	3	53	0	28	0	76	25	0	8	0	10	0	158	45	96	6	0	0	23	44	174	0	4	68	0	1148	32	28	12	9	272	68	0	53	0	155	0	81	169	3	0	24	17	38	146	28	349	11	48	0	0	0	31	0	112	911	0	0	43	162	19	1490	49	12	71	40	546	0	4	0	0	24	0	348	126	1	34	0	78	0	38	35	49	361	0	0	169	12	0	212	0	9	0	64	160	0	244	8	0
